"name","authors","year","base","booktitle","doi"
"Image segmentation through fuzzy clustering: A survey","Jain, Rashi and Sharma, Rama Shankar",2019,"[""Engineering Village""]",,
"PARFUME modeling status update","Skerjanc, William F. and Maki, John T. and Petti, David A.",2012,"[""Engineering Village""]",,
"Interactive generalized keyboard driver for Bengali braille embosser","Dhar, Kishalay and Rahman, M. Ashifur and Ullah, M. Ahsan",2017,"[""IEEE"",""Engineering Village""]",,
"Assessing possible shifts in wildfire regimes under a changing climate in mountainous landscapes","Mori, Akira S. and Johnson, Edward A.",2013,"[""Science Direct"",""Engineering Village""]",,
"An experience of using numerical methods in experimental investigations of TsAGI","Bosnyakov, S.M. and Gorbushin, A.R. and Mikhaylov, S.V. and Neyland, V. Ya",2012,"[""Engineering Village""]",,
"Lazy stateless incremental evaluation machinery for attribute grammars","Bransen, Jeroen and Dijkstra, Atze and Doaitse Swierstra, S.",2014,"[""ACM"",""Engineering Village""]",,
"Improving regression test efficiency with an awareness of refactoring changes","Chen, Zhiyuan and Guo, Hai-Feng and Song, Myoungkyu",2018,"[""Science Direct"",""Engineering Village""]",,
"Avoiding Useless Mutants","Fernandes, Leonardo and Gheyi, Rohit and Cavalcanti, Ana and Ribeiro, Marcio and Mongiovi, Melina and Ferrari, Fabiano and Carvalho, Luiz and Santos, Andre and Maldonado, Jose Carlos",2018,"[""ACM"",""Engineering Village""]",,
"A fast and efficient python library for interfacing with the Biological Magnetic Resonance Data Bank","Smelter, Andrey and Astra, Morgan and Moseley, Hunter N.B.",2017,"[""Engineering Village""]",,
"Iterator-based optimization of imperfectly-nested loops","Feshbach, Daniel and Glaser, Mary and Strout, Michelle and Wonnacott, David G.",2018,"[""IEEE"",""Engineering Village""]",,
"Transient, spatially varied groundwater recharge modeling","Assefa, Kibreab Amare and Woodbury, Allan D.",2013,"[""Engineering Village""]",,
"Integrating design freeze in to large-scale construction projects in Sri Lanka","Hemal, R.M.N. and Waidyasekara, K.G.A.S. and Ekanayake, E.M.A.C.",2017,"[""IEEE"",""Engineering Village""]",,
"Numerical simulation of metal jet breakup, cooling and solidification in water","Zhou, Yuan and Chen, Jingtan and Zhong, Mingjun and Wang, Junfeng and Lv, Meng",2017,"[""Science Direct"",""Engineering Village""]",,
"Social coding in GitHub: Transparency and collaboration in an open software repository","Dabbish, Laura and Stuart, Colleen and Tsay, Jason and Herbsleb, Jim",2012,"[""ACM"",""Engineering Village""]",,
"An extensible, multi-model software library for simulating crop growth and development","Confalonieri, R. and Bregaglio, S. and Stella, T. and Negrini, G. and Acutis, M. and Donatelli, M.",2012,"[""Engineering Village""]",,
"Cross-Layer Software Dependability on Unreliable Hardware","Rehman, Semeen and Chen, Kuan-Hsun and Kriebel, Florian and Toma, Anas and Shafique, Muhammad and Chen, Jian-Jia and Henkel, Jorg",2016,"[""Engineering Village""]",,
"Exploiting Earth observation data pools for urban analysis: The TEP URBAN project","Heldens, W. and Esch, T. and Asamer, H. and Boettcher, M. and Brito, F. and Hirner, A. and Marconcini, M. and Mathot, E. and Metz, A. and Permana, H. and Zeidler, J. and Balhar, J. and Kuchar, S. and Soukop, T. and Stankek, F.",2017,"[""Engineering Village""]",,
"Mapping afforestation and forest biomass using time-series Landsat stacks","Liu, Liangyun and Peng, Dailiang and Wang, Zhihui and Hu, Yong",2014,"[""Engineering Village""]",,
"Automating Live Update for Generic Server Programs","Giuffrida, Cristiano and Iorgulescu, Clin and Tamburrelli, Giordano and Tanenbaum, Andrew S.",2017,"[""Engineering Village""]",,
"Scaling agile mechatronics: An industrial case study","Lantz, Jonn and Eliasson, Ulf",2014,"[""Engineering Village""]",,
"Predictive modeling methodology for compiler phase-ordering","Ashouri, Amir Hossein and Bignoli, Andrea and Palermo, Gianluca and Silvano, Cristina",2016,"[""ACM"",""Engineering Village""]",,
"A common backend for hardware acceleration on FPGA","Del Sozzo, Emanuele and Baghdadi, Riyadh and Amarasinghe, Saman and Santambrogio, Marco D.",2017,"[""Engineering Village""]",,
"Reliable implementation of linear filters with fixed-point arithmetic","Hilaire, Thibault and Lopez, Benoit",2013,"[""IEEE"",""Engineering Village""]",,
"Reusable Specification Templates for Defining Dynamic Semantics of DSLs","Tikhonova, Ulyana",2017,"[""Engineering Village""]",,
"Reusable specification templates for defining dynamic semantics of DSLs","Tikhonova, Ulyana",2017,"[""Engineering Village""]",,
"Towards automatic complex feature engineering","Zhang, Jianyu and Fogelman-Soulie, Francoise and Largeron, Christine",2018,"[""Engineering Village""]",,
"Mutable checkpoint-restart: Automating live update for generic server programs","Giuffrida, Cristiano and Iorgulescu, Clin and Tanenbaum, Andrew S.",2014,"[""ACM"",""Engineering Village""]",,
"Beam model refinement and reduction","Medic, Senad and Dolarevic, Samir and Ibrahimbegovic, Adnan",2013,"[""Science Direct"",""Engineering Village""]",,
"A meta-model for DEVS: Designed following Model Driven Engineering specifications","Garredu, Stephane and Vittori, Evelyne and Santucci, Jean-Francois and Bisgambiglia, Paul-Antoine",2012,"[""Engineering Village""]",,
"Management of the quality of teaching at Universities - A course for teachers at the Technical University of Kosice developed within the operational programme 'Education'","Blasko, Michal and Raschman, Pavel",2012,"[""Engineering Village""]",,
"Complex inference in neural circuits with probabilistic population codes and topic models","Beck, Jeff and Heller, Katherine and Pouget, Alexandre",2012,"[""Engineering Village""]",,
"Personalized defect prediction","Jiang, Tian and Tan, Lin and Kim, Sunghun",2013,"[""IEEE"",""ACM"",""Engineering Village""]",,
"Are social network sites the future of engineering design education?","Brisco, Ross and Whitfield, Robert and Grierson, Hilary",2018,"[""Engineering Village""]",,
"Survey of static software defect prediction","Chen, Xiang and Gu, Qing and Liu, Wang-Shu and Liu, Shu-Long and Ni, Chao",2016,"[""Engineering Village""]",,
"Multi-feature extraction and selection in writer-independent off-line signature verification","Rivard, Dominique and Granger, Eric and Sabourin, Robert",2013,"[""Engineering Village""]",,
"Evaluating the conventional wisdom in clone removal: A genealogy-based empirical study","Zibran, Minhaz F. and Saha, Ripon K. and Roy, Chanchal K. and Schneider, Kevin A.",2013,"[""Engineering Village""]",,
"Quantifying rates of landscape evolution and tectonic processes by thermochronology and numerical modeling of crustal heat transport using PECUBE","Braun, Jean and van der Beek, Peter and Valla, Pierre and Robert, Xavier and Herman, Frederic and Glotzbach, Christoph and Pedersen, Vivi and Perry, Claire and Simon-Labric, Thibaud and Prigent, Cecile",2012,"[""Engineering Village""]",,
"Runtime Verification of Scientific Computing: Towards an Extreme Scale","Dinh, Minh Ngoc and Jin, Chao and Abramson, David and Jeffery, Clinton L.",2016,"[""ACM"",""Engineering Village""]",,
"Lunar micro rover design for exploration through virtual reality tele-operation","Britton, Nathan and Yoshida, Kazuya and Walker, John and Nagatani, Keiji and Taylor, Graeme and Dauphin, Loic",2015,"[""Engineering Village""]",,
"Developing a summer bridge course for improving retention in engineering","Volcy, Jerry and Sidbury, Carmen",2013,"[""Engineering Village""]",,
"Metalearning to choose the level of analysis in nested data: A case study on error detection in foreign trade statistics","Zarmehri, Mohammad Nozari and Soares, Carlos",2015,"[""Engineering Village""]",,
"Regression test selection for android applications","Do, Quan and Yang, Guowei and Che, Meiru and Hui, Darren and Ridgeway, Jefferson",2016,"[""IEEE"",""ACM"",""Engineering Village""]",,
"Automatic improvement of graph based image segmentation","Vu, Huyen and Olsson, Roland",2012,"[""Engineering Village""]",,
"SUSPEND: Determining software suspiciousness by non-stationary time series modeling of entropy signals","Wojnowicz, Michael and Chisholm, Glenn and Wallace, Brian and Wolff, Matt and Zhao, Xuan and Luan, Jay",2017,"[""Science Direct"",""Engineering Village""]",,
"Automatically Documenting Unit Test Cases","Li, Boyang and Vendome, Christopher and Linares-Vasquez, Mario and Poshyvanyk, Denys and Kraft, Nicholas A.",2016,"[""IEEE"",""Engineering Village""]",,
"Algebraic foundations for effect-dependent optimisations","Kammar, Ohad and Plotkin, Gordon D.",2012,"[""ACM"",""Engineering Village""]",,
"Algebraic foundations for effect-dependent optimisations","Kammar, Ohad and Plotkin, Gordon D.",2012,"[""ACM"",""Engineering Village""]",,
"The effects of climate model similarity on probabilistic climate projections and the implications for local, risk-based adaptation planning","Steinschneider, Scott and McCrary, Rachel and Mearns, Linda O. and Brown, Casey",2015,"[""Engineering Village""]",,
"Empowering Professional Teaching in Engineering: Sustaining the Scholarship of Teaching","Heywood, John",2018,"[""Engineering Village""]",,
"Tracing your maintenance work - A cross-project validation of an automated classification dictionary for commit messages","Mauczka, Andreas and Huber, Markus and Schanes, Christian and Schramm, Wolfgang and Bernhart, Mario and Grechenig, Thomas",2012,"[""Engineering Village""]",,
"Tracing your maintenance work  a cross-project validation of an automated classification dictionary for commit messages","Mauczka, Andreas and Huber, Markus and Schanes, Christian and Schramm, Wolfgang and Bernhart, Mario and Grechenig, Thomas",2012,"[""Engineering Village""]",,
"Automatic Contract Insertion with CCBot","Carr, Scott A. and Logozzo, Francesco and Payer, Mathias",2017,"[""IEEE"",""Engineering Village""]",,
"Customized performance evaluation approach for Indian green buildings","Gupta, Rajat and Gregg, Matt and Manu, Sanyogita and Vaidya, Prasad and Dixit, Maaz",2019,"[""Engineering Village""]",,
"Neural acceleration for general-purpose approximate programs","Esmaeilzadeh, Hadi and Sampson, Adrian and Ceze, Luis and Burger, Doug",2012,"[""IEEE"",""ACM"",""Engineering Village""]",,
"Impact of compiler phase ordering when targeting GPUs","Nobre, Ricardo and Reis, Luis and Cardoso, Joao M. P.",2018,"[""Engineering Village""]",,
"SPARQL2Git: Transparent SPARQL and Linked Data API Curation via Git","Merono-Penuela, Albert and Hoekstra, Rinke",2017,"[""Engineering Village""]",,
"Logic controller design system supporting UML activity diagrams","Grobelny, Michal and Grobelna, Iwona",2015,"[""IEEE"",""Engineering Village""]",,
"Using runtime state analysis to decide applicability of dynamic software updates","elajev, Oleg and Gregersen, Allan",2017,"[""Engineering Village""]",,
"Nontarget Vision Sensor for Remote Measurement of Bridge Dynamic Response","Feng, Maria Q. and Fukuda, Yoshio and Feng, Dongming and Mizuta, Masato",2015,"[""Engineering Village""]",,
"Compressive sensing multiple description image coding with hybrid sampling","Wang, Liang-Jun and Shi, Guang-Ming and Li, Fu and Shi, Si-Qi",2013,"[""Engineering Village""]",,
"A fast GPU point-cloud registration algorithm","Rahman, Md Mushfiqur and Galanakou, Panagiota and Kalantzis, Georgios",2018,"[""IEEE"",""Engineering Village""]",,
"Comparison of ultra-rapid orbit prediction strategies for GPS, GLONASS, galileo and BeiDou","Geng, Tao and Zhang, Peng and Wang, Wei and Xie, Xin",2018,"[""Engineering Village""]",,
"Dynamic service versioning: Network-based approach (DSV-N)","Jauhari, Prashank and Kumar, Sachin and Mal, Chiranjeev and Marwaha, Preeti and Preveen, Anu",2019,"[""Engineering Village""]",,
"Coding interactions in Motivational Interviewing with computer-software: What are the advantages for process researchers?","Klonek, Florian E. and Quera, Vicenc and Kauffeld, Simone",2015,"[""Science Direct"",""Engineering Village""]",,
"Seismic design of low-rise buildings based on frequent earthquake response spectrum","Barros, Jose and Santa-Maria, Hernan",2019,"[""Science Direct"",""Engineering Village""]",,
"Deformable Convolutional Networks","Dai, Jifeng and Qi, Haozhi and Xiong, Yuwen and Li, Yi and Zhang, Guodong and Hu, Han and Wei, Yichen",2017,"[""IEEE"",""Engineering Village""]",,
"A metaphone based chaotic searchable encryption algorithm for border management","Awad, Abir and Lee, Brian",2016,"[""Engineering Village""]",,
"OpenMP-style parallelism in data-centered multicore computing with R","Jiang, Lei and Patel, Pragneshkumar B. and Ostrouchov, George and Jamitzky, Ferdinand",2012,"[""ACM"",""Engineering Village""]",,
"OpenMP-style parallelism in data-centered multicore computing with R","Jiang, Lei and Patel, Pragneshkumar B. and Ostrouchov, George and Jamitzky, Ferdinand",2012,"[""ACM"",""Engineering Village""]",,
"Power control in the uplink of a wireless multi-carrier CDMA system","Campos-Delgado, Daniel U. and Luna-Rivera, J.M.",2013,"[""IEEE"",""Engineering Village""]",,
"Dynamically adaptive parsons problems","Ericson, Barbara J.",2016,"[""ACM"",""Engineering Village""]",,
"A vision for interactive suggested examples for novice programmers","Ichinco, Michelle",2018,"[""IEEE"",""Engineering Village""]",,
"Simplifying translation validation via model extrapolation","Howar, Falk and Margaria, Tiziana and Wagner, Christian",2013,"[""Engineering Village""]",,
"A linear approach for sparse coding by a two-layer neural network","Montalto, Alessandro and Tessitore, Giovanni and Prevete, Roberto",2015,"[""Science Direct"",""Engineering Village""]",,
"FE modeling of the cooling and tempering steps of bimetallic rolling mill rolls","Neira Torres, Ingrid and Gilles, Gaetan and Tchoufang Tchuindjang, Jerome and Flores, Paulo and Lecomte-Beckers, Jacqueline and Habraken, Anne Marie",2017,"[""Engineering Village""]",,
"Kitsune: Efficient, general-purpose dynamic software updating for C","Hayden, Christopher M. and Saur, Karla and Smith, Edward K. and Hicks, Michael and Foster, Jeffrey S.",2014,"[""ACM"",""Engineering Village""]",,
"Kitsune: Efficient, general-purpose dynamic software updating for C","Hayden, Christopher M. and Smith, Edward K. and Denchev, Michail and Hicks, Michael and Foster, Jeffrey S.",2012,"[""ACM"",""Engineering Village""]",,
"Kitsune: Efficient, general-purpose dynamic software updating for C","Hayden, Christopher M. and Smith, Edward K. and Denchev, Michail and Hicks, Michael and Foster, Jeffrey S.",2012,"[""ACM"",""Engineering Village""]",,
"A satellite relative motion model including j2and j3via Vinti's intermediary","Biria, Ashley D. and Russell, Ryan P.",2016,"[""Engineering Village""]",,
"State of the art of dynamic software updating in Java","Gregersen, Allan Raundahl and Rasmussen, Michael and Jorgensen, Bo Norregaard",2014,"[""Engineering Village""]",,
"Reply to comment by Anel on Most computational hydrology is not reproducible, so is it really science?","Hutton, Christopher and Wagener, Thorsten and Freer, Jim and Han, Dawei and Duffy, Chris and Arheimer, Berit",2017,"[""Engineering Village""]",,
"Towards robust color recovery for high-capacity color QR codes","Yang, Zhibo and Cheng, Zhiyi and Loy, Chen Change and Lau, Wing Cheong and Li, Chak Man and Li, Guanchen",2016,"[""IEEE"",""Engineering Village""]",,
"The knowledge accumulation and transfer in open-source software (OSS) development","Kim, Youngsoo and Jiang, Lingxiao",2015,"[""IEEE"",""Engineering Village""]",,
"Input selection for fast feature engineering","Anderson, Michael R. and Cafarella, Michael",2016,"[""IEEE"",""Engineering Village""]",,
"Mining network traffic for application category recognition on Android platform","Wei, Songjie and Wu, Gaoxiang and Zhou, Ziyang and Yang, Ling",2015,"[""IEEE"",""Engineering Village""]",,
"Joint palaeoclimate reconstruction from pollen data via forward models and climate histories","Parnell, Andrew C. and Haslett, John and Sweeney, James and Doan, Thinh K. and Allen, Judy R.M. and Huntley, Brian",2016,"[""Science Direct"",""Engineering Village""]",,
"Bug patterns detection from android apps","Ramay, Waheed Yousuf and Akbar, Arslan and Sajjad, Muhammad",2018,"[""Engineering Village""]",,
"POSTER: A framework for phylogenetic analysis in mobile environment","Martinelli, Fabio and Mercaldo, Francesco and Saracino, Andrea",2018,"[""ACM"",""Engineering Village""]",,
"2017 NESC(R) Handbook, Eighth Edition","Bingel, Nelson G. and Bleakley, Charlie C. and Clapp, Allen L. and Dagenhart, John H. and Konz, Mark A. and Gaunt, Lauren E. and Gunter, Mickey B. and Jurgemeyer, Mark F.",2016,"[""IEEE"",""Engineering Village""]",,
"Erasure correction-based CSMA/CA","Tortelier, Patrick and Le Ruyet, Didier",2017,"[""Engineering Village""]",,
"Introduction to devOps with chocolate, LEGO and scrum game","Pylayeva, Dana",2017,"[""Engineering Village""]",,
"Semantics-aware Android malware classification using weighted contextual API dependency graphs","Zhang, Mu and Duan, Yue and Yin, Heng and Zhao, Zhiruo",2014,"[""ACM"",""Engineering Village""]",,
"Semantics-aware android malware classification using weighted contextual API dependency graphs","Zhang, Mu and Duan, Yue and Yin, Heng and Zhao, Zhiruo",2014,"[""ACM"",""Engineering Village""]",,
"On-stack replacement to improve JIT-based obfuscation a preliminary study","Yusuf, Marwa and El-Mahdy, Ahmed and Rohou, Erven",2013,"[""IEEE"",""Engineering Village""]",,
"Lightweight online software updates for C applications","Kim, Dong Kwan",2013,"[""Engineering Village""]",,
"Comparison of absolute and relative strategies to encode sensorimotor transformations in tool-use","Braud, Raphael and Pitti, Alexandre and Gaussier, Philippe",2015,"[""IEEE"",""Engineering Village""]",,
"Compiler techniques to improve dynamic branch prediction for indirect jump and call instructions","McCandless, Jason and Gregg, David",2012,"[""ACM"",""Engineering Village""]",,
"Fraglight: Shedding light on broken pointcuts in evolving Aspect-Oriented software","Khatchadourian, Raffi and Rashid, Awais and Masuhara, Hidehiko and Watanabe, Takuya",2015,"[""ACM"",""Engineering Village""]",,
"Performance of Direct Displacement Based Design on Regular Concrete Building Against Indonesian Response Spectrum","Muljati, Ima and Lumantarna, Benjamin and Intan, Reynaldo P. and Valentino, Arygianny",2017,"[""Science Direct"",""Engineering Village""]",,
"Assessment of ASSERT-PV for prediction of critical heat flux in CANDU bundles","Rao, Y.F. and Cheng, Z. and Waddington, G.M.",2014,"[""Science Direct"",""Engineering Village""]",,
"Development of a three-zone transport model for activated corrosion products analysis of Tokamak Cooling Water System","Zhang, Jingyu and Li, Lu and He, Shuxiang and Song, Wen and Fu, Yu and Zhang, Bin and Chen, Yixue",2016,"[""Science Direct"",""Engineering Village""]",,
"Local Transformed Features for Epileptic Seizure Detection in EEG Signal","Jaiswal, Abeg Kumar and Banka, Haider",2018,"[""Engineering Village""]",,
"Reactive transport modeling of subsurface flow constructed wetlands using the HYDRUS wetland module","Langergraber, Gunter and imunek, Jirka",2012,"[""Engineering Village""]",,
"GraphX: A resilient distributed graph system on spark","Xin, Reynold S. and Gonzalez, Joseph E. and Franklin, Michael J. and Stoica, Ion",2013,"[""ACM"",""Engineering Village""]",,
"Open issues in model transformations for multimodal applications","Lengyel, Laszlo and Charaf, Hassan",2015,"[""Engineering Village""]",,
"Investigation of the effects of soluble boron tracking on coupled CTF / NEM, LWR simulations","Biery, M. and Avramova, M. and Ivanov, K.",2013,"[""Engineering Village""]",,
"Numerical modelling of the tailored tempering process applied to 22MnB5 sheets","Tang, B.T. and Bruschi, S. and Ghiotti, A. and Bariani, P.F.",2014,"[""Science Direct"",""Engineering Village""]",,
"A set of patterns for concurrent and parallel programming teaching","Capel, Manuel I. and Tomeu, Antonio J. and Salguero, Alberto G.",2018,"[""Engineering Village""]",,
"Adaptive Online Sequential ELM for Concept Drift Tackling","Budiman, Arif and Fanany, Mohamad Ivan and Basaruddin, Chan",2016,"[""Engineering Village""]",,
"An experience report on (Auto-)tuning of mesh-based PDE solvers on shared memory systems","Charrier, Dominic E. and Weinzierl, Tobias",2018,"[""Engineering Village""]",,
"Recording and analyzing in-browser programming sessions","Helminen, Juha and Ihantola, Petri and Karavirta, Ville",2013,"[""ACM"",""Engineering Village""]",,
"There and back again: Can you compile that snapshot?","Tufano, Michele and Palomba, Fabio and Bavota, Gabriele and DiPenta, Massimiliano and Oliveto, Rocco and DeLucia, Andrea and Poshyvanyk, Denys",2017,"[""Engineering Village""]",,
"Relationship between design and defects for software in evolution","Mileti, Matija and Vukui, Monika and Maus, Goran and Grbac, Tihana Galinac",2017,"[""Engineering Village""]",,
"15th International Conference on Enterprise Information Systems, ICEIS 2013",,2014,"[""Engineering Village""]",,
"Towards Automatic Generation of Short Summaries of Commits","Jiang, Siyuan and McMillan, Collin",2017,"[""IEEE"",""Engineering Village""]",,
"Tackling androids native library malware with robust, efficient and accurate similarity measures","Kalysch, Anatoli and Protsenko, Mykolai and Milisterfer, Oskar and Muller, Tilo",2018,"[""ACM"",""Engineering Village""]",,
"Mission-type education programs with smart device facilitating LBS","Dong, Uk Im and Lee, Jong Oh",2013,"[""Engineering Village""]",,
"Genetic optimization of a PCM enhanced storage tank for Solar Domestic Hot Water Systems","Padovan, Roberta and Manzan, Marco",2014,"[""Science Direct"",""Engineering Village""]",,
"Selecting a climate model subset to optimise key ensemble properties","Herger, Nadja and Abramowitz, Gab and Knutti, Reto and Angelil, Oliver and Lehmann, Karsten and Sanderson, Benjamin M.",2018,"[""Engineering Village""]",,
"One-Way Wave Equation Migration at Scale on GPUs Using Directive Based Programming","Mehta, Kshitij and Hugues, Maxime and Hernandez, Oscar and Bernholdt, David E. and Calandra, Henri",2017,"[""Engineering Village""]",,
"A multipurpose framework for model-based reuse-oriented software integration synthesis","Perucci, Alexander and Autili, Marco and Tivoli, Massimo",2017,"[""Engineering Village""]",,
"An industrial study on the risk of software changes","Shihab, Emad and Hassan, Ahmed E. and Adams, Bram and Jiang, Zhen Ming",2012,"[""ACM"",""Engineering Village""]",,
"Boxlib with tiling: An adaptive mesh refinement software framework","Zhang, Weiqun and Almgren, Ann and Day, Marcus and Nguyen, Tan and Shalf, John and Unat, Didem",2016,"[""Engineering Village""]",,
"Using LLVM for optimized lightweight binary re-writing at runtime","Engelke, Alexis and Weidendorfer, Josef",2017,"[""IEEE"",""Engineering Village""]",,
"GCad: A near-miss clone genealogy extractor to support clone evolution analysis","Saha, Ripon K. and Roy, Chanchal K. and Schneider, Kevin A.",2013,"[""IEEE"",""Engineering Village""]",,
"Interleaver with high dimensional encoding principle using hybrid group search optimizer","Deshmukh, Rutuja Abhishek and Panat, A.R.",2018,"[""Engineering Village""]",,
"A Large Scale Study of License Usage on GitHub","Vendome, Christopher",2015,"[""IEEE"",""ACM"",""Engineering Village""]",,
"Numerical simulation of impact tests on reinforced concrete beams","Jiang, Hua and Wang, Xiaowo and He, Shuanhai",2012,"[""Science Direct"",""Engineering Village""]",,
"Automatic and portable mapping of data parallel programs to OpenCL for GPU-based heterogeneous systems","Wang, Zheng and Grewe, Dominik and O'boyle, Michael F. P.",2014,"[""ACM"",""Engineering Village""]",,
"Using a visual programming environment and custom robots to learn C programming and K-12 STEM concepts","Krishnamoorthy, Sai Prasanth and Kapila, Vikram",2016,"[""ACM"",""Engineering Village""]",,
"Interactive shadow removal and ground truth for variable scene categories","Gong, Han and Cosker, Darren",2014,"[""Engineering Village""]",,
"An extendible design exploration tool for supporting approximate computing techniques","Barbareschi, Mario and Iannucci, Federico and Mazzeo, Antonino",2016,"[""Engineering Village""]",,
"Bioacoustic approaches to biodiversity monitoring and conservation in Kenya","Maina, Ciira Wa",2015,"[""IEEE"",""Engineering Village""]",,
"Tookoormuse hinnangu tapsustamine mikroproduktiivsuse profiili abil","Toth, Gabriella and Vegh, Adam Zoltan and Beszedes, Arpad and Schrettner, Lajos and Gergely, Tamas and Gyimothy, Tibor",2013,"[""Engineering Village""]",,
"A BPMN-based design and maintenance framework for ETL processes","El Akkaoui, Zineb and Zimanyi, Esteban and Mazon, Jose-Norberto and Trujillo, Juan",2013,"[""Engineering Village""]",,
"HERCULES: Strong patterns towards more intelligent predictive modeling","Park, Eunjung and Kartsaklis, Christos and Cavazos, John",2014,"[""IEEE"",""Engineering Village""]",,
"Moriarty: Improving 'time to market' in big data and artificial intelligence applications","Pena, P. and Del Hoyo, R. and Vea-Murguia, J. and Rodrigalvarez, V. and Calvo, J.I. and Martin, J.M.",2016,"[""Engineering Village""]",,
"An open-source object-graph-mapping framework for Neo4j and Scala: Renesca","Dietze, Felix and Karoff, Johannes and Valdez, Andre Calero and Ziefle, Martina and Greven, Christoph and Schroeder, Ulrik",2016,"[""Engineering Village""]",,
"Text steganography in font color of MS excel sheet","Alsaadi, Husam Ibrahiem and Al-Anni, Maad Kamal and Almuttairi, Rafah M. and Bayat, Oguz and Ucan, Osman Nuri",2018,"[""ACM"",""Engineering Village""]",,
"Patch verification via multiversion interprocedural control flow graphs","Le, Wei and Pattison, Shannon D.",2014,"[""ACM"",""Engineering Village""]",,
"Online interactive educational system for submission and evaluation of programming assignments","Varat, Abhishek and Vetal, Mayur and Bawadkar, Pooja and Shinde, Shubham and Naik, Varsha",2018,"[""Engineering Village""]",,
"Seeking the ground truth: A retroactive study on the evolution and migration of software libraries","Cossette, Bradley E. and Walker, Robert J.",2012,"[""ACM"",""Engineering Village""]",,
"Preparation and enhanced thermal performance of novel (solid to gel) form-stable eutectic PCM modified by nano-graphene platelets","Saeed, Rami M. and Schlegel, J.P. and Castano, C. and Sawafta, R.",2018,"[""Engineering Village""]",,
"A new semantics-based android malware detection","Zhang, Xiaohan and Jin, Zhengping",2016,"[""IEEE"",""Engineering Village""]",,
"Linear and kernel methods for multivariate change detection","Canty, Morton J. and Nielsen, Allan A.",2012,"[""Science Direct"",""Engineering Village""]",,
"Automating object transformations for dynamic software updating","Magill, Stephen and Hicks, Michael and Subramanian, Suriya and McKinley, Kathryn S.",2012,"[""ACM"",""Engineering Village""]",,
"Automating object transformations for dynamic software updating","Magill, Stephen and Hicks, Michael and Subramanian, Suriya and McKinley, Kathryn S.",2012,"[""ACM"",""Engineering Village""]",,
"Causes of architecture changes: An empirical study through the communication in OSS mailing lists","Ding, Wei and Liang, Peng and Tang, Antony and Van Vliet, Hans",2015,"[""Engineering Village""]",,
"Understanding the causes of architecture changes using OSS mailing lists","Ding, Wei and Liang, Peng and Tang, Antony and Van Vliet, Hans",2015,"[""Engineering Village""]",,
"Large-scale analysis of neuroimaging data on commercial clouds with content-aware resource allocation strategies","Minervini, Massimo and Rusu, Cristian and Damiano, Mario and Tucci, Valter and Bifone, Angelo and Gozzi, Alessandro and Tsaftaris, Sotirios A.",2015,"[""Engineering Village""]",,
"CLCMiner: Detecting Cross-Language Clones without Intermediates","Cheng, Xiao and Peng, Zhiming and Jiang, Lingxiao and Zhong, Hao and Yu, Haibo and Zhao, Jianjun",2017,"[""Engineering Village""]",,
"Exploring the educational potential of QR codes","Sungkur, Roopesh Kevin and Neermul, Vasheel and Tauckoor, Varsha",2016,"[""IEEE"",""Engineering Village""]",,
"An empirical investigation of changes in some software properties over time","Gil, Joseph and Goldstein, Maayan and Moshkovich, Dany",2012,"[""IEEE"",""ACM"",""Engineering Village""]",,
"A Bayesian network approach for compiler auto-tuning for embedded processors","Ashouri, Amir Hossein and Mariani, Giovanni and Palermo, Gianluca and Silvano, Cristina",2014,"[""IEEE"",""Engineering Village""]",,
"Teaching introductory web development using scrimba: An interactive and cooperative development tool","Lauvas, Per and Gonzalez, Rolando",2018,"[""Engineering Village""]",,
"Dynamically testing GUIs using ant colony optimization","Carino, Santo and Andrews, James H.",2015,"[""Engineering Village""]",,
"Impact of consecutive changes on later file versions","Dai, Meixi and Shen, Beijun and Zhang, Tao and Zhao, Min",2014,"[""ACM"",""Engineering Village""]",,
"Wind turbine pitch change simulation with helicoidal vortex model","Chattot, Jean-Jacques and Braaten, Mark E.",2012,"[""Engineering Village""]",,
"A software engineering perspective on environmental modeling framework design: The Object Modeling System","David, O. and Ascough, J.C. and Lloyd, W. and Green, T.R. and Rojas, K.W. and Leavesley, G.H. and Ahuja, L.R.",2013,"[""Science Direct"",""Engineering Village""]",,
"Examining the stability of logging statements","Kabinna, Suhas and Bezemer, Cor-Paul and Shang, Weiyi and Syer, Mark D and Hassan, Ahmed E",2018,"[""Engineering Village""]",,
"Isotopic, ecological and technological investigations of the land snail record","Faber, Meredith L.",2012,"[""Engineering Village""]",,
"Users beware: Preference inconsistencies ahead","Behrang, Farnaz and Cohen, Myra B. and Orso, Alessandro",2015,"[""ACM"",""Engineering Village""]",,
"Avances en Ingenieria de Software a Nivel Iberoamericano, CIbSE 2018",,2018,"[""Engineering Village""]",,
"Design relativistic charged particle beam transportation channels","Averyanov, G.P. and Budkin, V.A. and Osadchuk, I.O.",2016,"[""Engineering Village""]",,
"A longitudinal study of programmers' backtracking","Yoon, Young Seok and Myers, Brad A.",2014,"[""IEEE"",""Engineering Village""]",,
"Proceedings - 2017 IEEE/ACM 39th International Conference on Software Engineering, ICSE 2017",,2017,"[""Engineering Village""]",,
